Date,Instrument,Profit/Loss,Strategy
2025-02-10,MES,$-249.75,Recupero 1/2 Ora
2025-02-11,MES,$159,Recupero 1/2 Ora
2025-02-12,MES,$-684.45,Recupero 1/2 Ora
2025-02-13,MES,$-387.25,Non Recupero 1/2 Ora
2025-02-18,MES,$104.30,Anti POC
2025-02-19,MES,$-147.25,Anti POC
2025-02-21,MES,$311.40,Anti GAP
2025-02-24,MES,$112.95,Recupero 1/2 Ora
2025-02-25,MES,$118.40,Recupero 1/2 Ora
2025-02-26,MES,$-348.25,Recupero 1/2 Ora
2025-02-27,MES,$322.65,Anti POC ETH
2025-02-28,MES,$142.80,Anti POC ETH
2025-02-28,MES,$64.70,Recupero 1/2 Ora
2025-03-03,MES,$-57.10,Anti POC ETH
2025-03-04,MES,$35.10,Double Bottom
2025-03-04,MES,$48,Setup Oro
2025-03-05,MES,$206.55,Anti POC
2025-03-06,MES,$36.40,Anti POC
2025-03-07,MES,$67.70,Recupero B Shape
2025-03-07,MES,$366.40,Anti POC
2025-03-10,MES,$-149.65,Recupero 1/2 Ora
2025-03-12,MES,$125.15,Recupero B Shape
2025-03-12,MES,$-458, VOLSYS BLOCCATA
2025-03-13,MES,$97.65,Recupero News
2025-03-13,MES,$55.05,Recupero 1/2 Ora
2025-03-14,MES,$106.55,Recupero News
2025-03-19,MES,$-507,Anti POC
2025-03-19,MES,$178.15,Non Recupero 1/2 Ora
2025-03-20,MES,$407.10,Anti B Shape RTH
2025-03-20,MES,$114.45,Anti POC
2025-03-21,MES,$328.50,Anti P Shape
2025-03-24,MES,$116.50,Anti POC
2025-04-09,MES,$102.60,Non Recupero 1/2 Ora
2025-04-11,MES,$292.65,Anti POC
2025-04-14,MES,$352.65,Anti POC
2025-04-15,MES,$-269.85,Anti POC
2025-04-16,MES,$292.65,Anti POC
